BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
2636021,E-FLITE BLADE TOYS-RADIO CONTROL,E-FLITE BLADE TOYS-RADIO CONTROL,993629,993629,G423,2949,HORIZON HOBBY LLC,horizon,TOYS
2754419,HORIZON REHABILITATION CTR MEDICAL SVCS,HORIZON REHABILITATION CTR MEDICAL SVCS,1618402,1618402,D249,961,HORIZON REHABILITATION INC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
2643846,NEW HORIZONS INTL MUSIC ASSN PROFESSIONAL ORGN,NEW HORIZONS INTL MUSIC ASSN PROFESSIONAL ORGN,1552147,1552147,B189,1184,NEW HORIZONS INTL MUSIC ASSN INC,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
3027486,GATES AT BILOXI REAL ESTATE-RESIDENTIAL,GATES AT BILOXI REAL ESTATE-RESIDENTIAL,1730451,1730451,B230,2068,NEW HORIZONS MANAGEMENT INC,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
2530062,MEDICAL HORIZONS PRINTING SVCS,MEDICAL HORIZONS PRINTING SVCS,1492477,1492477,B119,1180,MEDICAL HORIZONS INC-SC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
2759495,OUTLET SHOPPES AT GETTYSBURG SHOPPING CTR,OUTLET SHOPPES AT GETTYSBURG SHOPPING CTR,420434,420434,G719,1366,HORIZON GROUP PROPERTIES INC-PX,horizon,MISCELLANEOUS RETAIL
2762310,COLORADO CAR CLINIC SHOP-AUTO CARE-REPAIR,COLORADO CAR CLINIC SHOP-AUTO CARE-REPAIR,1604526,1604526,G713,2750,SOUTHWEST HORIZONS LTD,horizon,AUTOMOTIVE
2647405,HORIZON SYSTEMS COMPUTER SVCS,HORIZON SYSTEMS COMPUTER SVCS,1555550,1555550,B314,355,HORIZON SYSTEMS LLC,horizon,COMPUTER & DATA PROCESSING SERVICES
3189414,HORIZONTES DE FE PSYCHIC READER,HORIZONTES DE FE PSYCHIC READER,1803582,1803582,B119,1192,HORIZONTES DE FE INC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
3189612,HORIZON AWNING STORE-AWNING,HORIZON AWNING STORE-AWNING,1804381,1804381,G719,1469,HORIZON AWNING LLC-SE,horizon,MISCELLANEOUS RETAIL
3090935,HORIZON CAPITAL GROUP LOAN CO,HORIZON CAPITAL GROUP LOAN CO,1758963,1758963,B159,921,HORIZON CAPITAL GROUP LLC,horizon,MISC FINANCIAL INST. SERVICES & PRODUCTS
3190081,VERSEO EVERLASHING EYELINER,VERSEO EVERLASHING EYELINER,916263,998229,D113,558,ATLANTIC HORIZON INTL INC,horizon,EYE MAKE-UP
3191234,HORIZON DESIGNER RUGS STORE-FLOOR COVERINGS,HORIZON DESIGNER RUGS STORE-FLOOR COVERINGS,1805390,1805390,G714,1526,HORIZON DESIGNER RUGS,horizon,HOUSEHOLD FURNISHINGS & APPLIANCE STORES
2659121,LOSI TOYS-RADIO CONTROL,LOSI TOYS-RADIO CONTROL,993629,993629,G423,2949,HORIZON HOBBY LLC,horizon,TOYS
2543749,PRIME HORIZONT BUSINESS SVCS,PRIME HORIZONT BUSINESS SVCS,1502540,1502540,B119,202,PRIME HORIZONT,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
2543750,PRIME HORIZONT/NL BUSINESS SVCS,PRIME HORIZONT/NL BUSINESS SVCS,1502540,1502540,B119,202,PRIME HORIZONT,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
3096321,ALL SEASONS MENTAL HEALTH MEDICAL SVCS,ALL SEASONS MENTAL HEALTH MEDICAL SVCS,1759103,1759104,D249,961,ALL HORIZONS INC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
2877082,HORIZON HOUSE CHARITABLE ORGN,HORIZON HOUSE CHARITABLE ORGN,1660134,1660134,B189,267,HORIZON HOUSE INC-IL,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
