BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
2378458,SANFORD HEALTH HOSPITAL,SANFORD HEALTH HOSPITAL CANCER,1341254,1341254,D249,801,SANFORD HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
12860,HUMANA INSURANCE-GROUP,HUMANA INSURANCE-GROUP,13054,9050,B212,2911,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
2381030,SANFORD ORTHOPEDICS & SPORTS MEDICINE MEDICAL SVCS,SANFORD ORTHOPEDICS & SPORTS MEDICINE MEDICAL SVCS,1341254,1341254,D249,961,SANFORD HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
430102,KAISER PERMANENTE MEDICAL CTR HOSPITAL,KAISER PERMANENTE MEDICAL CTR HOSPITAL,13499,8600,D249,801,KAISER FNDN HEALTH PLAN INC,kaiser,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
980384,NEW HORIZON BUILDERS BUILDERS,NEW HORIZON BUILDERS BUILDERS,763473,763473,B111,193,NEW HORIZON BUILDERS INC,horizon,"CONSTRUCTION, ENGINEERING & ARCHIT SRVCS"
143978,KAISER PERMANENTE EMPLOYMENT RECRUITMENT,KAISER PERMANENTE EMPLOYMENT RECRUITMENT,13499,8600,B720,529,KAISER FNDN HEALTH PLAN INC,kaiser,EMPLOYMENT RECRUITMENT
1972362,ANTHEM BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH MEDICARE,2304089,2304089,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1370120,ANTHEM BLUE CROSS & BLUE SHIELD OF COLRD INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD OF COLRD INSURANCE-HEALTH,2304089,957274,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1370179,BLUE CROSS & BLUE SHIELD OF LOUISIANA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF LOUISIANA INSURANCE-HEALTH,957307,957307,B212,2910,BLUE CROSS & BLUE SHILD OF LSN FNDN,bcbs,MEDICAL & DENTAL INSURANCE
1370357,BLUE CROSS & BLUE SHIELD OF GEORGIA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF GEORGIA INSURANCE-HEALTH,2304089,957398,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1370359,BLUE CROSS & BLUE SHIELD OF ALABAMA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF ALABAMA INSURANCE-HEALTH,957400,957400,B212,2910,BLUE CROSS & BLUE SHILD OF ALABAMA,bcbs,MEDICAL & DENTAL INSURANCE
1370363,BLUE CROSS BLUE SHIELD OF MICHIGAN INSURANCE-HEALTH,BLUE CROSS BLUE SHIELD OF MICHIGAN INSURANCE-HEALTH,957404,957404,B212,2910,BLUE CROSS & BLU SHLD OF MCHGN FNDN,bcbs,MEDICAL & DENTAL INSURANCE
1370365,BLUE CROSS BLUE SHIELD OF ARIZONA INSURANCE-HEALTH,BLUE CROSS BLUE SHIELD OF ARIZONA INSURANCE-HEALTH,957410,957410,B212,2910,BLUE CROSS & BLUE SHILD OF ARZN INC,bcbs,MEDICAL & DENTAL INSURANCE
1370371,BLUE CROSS & BLUE SHIELD OF KANSAS CITY INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF KANSAS CITY INSURANCE-HEALTH,957415,957415,B212,2910,BLUE CROSS & BLUE SHILD OF KNSS CTY,bcbs,MEDICAL & DENTAL INSURANCE
1370408,BLUE CROSS & BLUE SHIELD OF MASSACHUSTTS INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF MASSACHUSTTS INSURANCE-HEALTH,957434,957434,B212,2910,BLUE CROSS & BLUE SHIELD MASS INC,bcbs,MEDICAL & DENTAL INSURANCE
1370421,ANTHEM BLUE CROSS & BLUE SHIELD OF MISSR INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD OF MISSR INSURANCE-HEALTH,2304089,105880,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1370430,BLUE CROSS & BLUE SHIELD OF NEBRASKA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF NEBRASKA INSURANCE-HEALTH,957446,957446,B212,2910,BLUE CROSS & BLUE SHIELD OF NEBRASK,bcbs,MEDICAL & DENTAL INSURANCE
1370436,BLUE CROSS & BLUE SHIELD OF NORTH CAROLN INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF NORTH CAROLN INSURANCE-HEALTH,957451,957451,B212,2910,BLUE CROSS & BLUE SHIELD NORTH CRLN,bcbs,MEDICAL & DENTAL INSURANCE
1370479,BLUE CROSS OF IDAHO INSURANCE-HEALTH,BLUE CROSS OF IDAHO INSURANCE-HEALTH,957487,957487,B212,2910,BLUE CROSS OF IDAHO INC,bcbs,MEDICAL & DENTAL INSURANCE
