AdvParentCode,AdvParentDesc,kw_label
2101447,BLUE WATER SAFE HORIZONS,horizon
3175694,BLUME FORTE FRIED ZERRES & MOLINARI,molina
2581532,BOB KAISERS REPAIR INC,kaiser
2196420,BODY HORIZONS,horizon
1727665,BOOKING HORIZON SL,horizon
2917902,BOYCOTT ANTHEM,anthem
1784715,BRANDESS KALT AETNA,aetna
492152,BRANDESS-KALT-AETNA GROUP INC,aetna
355827,BREVARD TOTAL HEALTH NETWORK,healthnet
3328099,BRIGHT HEALTH GROUP INC,bright
3134518,BRIGHT HEALTH INC-MS,bright
2640621,BRIGHT HEALTH MANAGEMENT INC,bright
1634668,BRIGHT HEALTH PHYSICIANS,bright
3313547,BRIGHT HEALTH SVCS INC-MF,bright
2818701,BRIGHT HEALTHCARE,bright
2818688,BRIGHT HEALTHCARE MANAGEMENT INC,bright
4295853,BRIGHT HEALTHCARE MANAGEMENT INC-DL,bright
3281477,BRIGHT HORIZON HEALTH LLC,horizon
3158831,BRIGHT HORIZON PRIME CARE INC-NY,horizon
2977525,BRIGHT HORIZONS ADVCY & CSLG LLC-TO,horizon
2757318,BRIGHT HORIZONS CHLDRNS CTRS LLC-RD,horizon
1251396,BRIGHT HORIZONS PRESS LLC,horizon
1739601,BRING ME THE HORIZON,horizon
1719733,BROAD HORIZON RECORDS INC,horizon
441275,BROAD HORIZONS TRAVEL INC,horizon
1069125,BRONX COMMUNITY HEALTH NETWORK INC,healthnet
1287850,BROWN HORIZONS,horizon
402550,BROWN WATERHOUSE KAISER,kaiser
1553952,BUBS FIELD ON THE HORIZON LLC-DV,horizon
2967449,BUMRUNGRAD HEALTH NETWORK CO LTD,healthnet
909498,BY HORIZON LLC,horizon
3179937,BYRONMOLINA.COM,molina
1596585,CABINETS BY HORIZON LLC,horizon
559158,CAC-UNITED HEALTHCARE PLANS FLA INC,unitedhealth_alt
2193768,CALIFORNIA BLACK HEALTH NETWORK,healthnet
3236096,CALIFORNIA HEALTH NETWORK INC,healthnet
2025258,CALIFORNIA TELEHEALTH NETWORK,healthnet
887552,CAMP HORIZONS,horizon
1046037,CAMP NEW HORIZONS,horizon
965304,CANADIAN ASSN OF BLUE CROSS PLANS,bcbs
1523055,CAPITAL AREA HEALTH NETWORK,healthnet
3324928,CAPSTONE HEALTH NETWORK,healthnet
948999,CARAVANE HORIZON INC-XO,horizon
2274228,CAREER HORIZON LLC,horizon
294433,CAREER HORIZONS INC,horizon
419372,CAREPATH HEALTH NETWORK INC,healthnet
947404,CARMEN MOLINARO,molina
2226365,CARNAVAL MOLINA,molina
2859318,CAROLINA COMPLETE HEALTH NETWRK INC,healthnet
2697705,CAROLINAS HEALTH NETWORK INC,healthnet
2560888,CARPENTER HEALTH NETWORK LLC,healthnet
793208,CASA MOLINA RESTAURANT INC,molina
3045365,CATALYST HEALTH NETWORK INC-DL,healthnet
2892492,CAYUGA COMMUNITY HEALTH NETWORK,healthnet
525577,CENTENE CORP,centene
691497,CENTERS FOR NEW HORIZONS INC,horizon
2105479,CENTRAL AMERICA HORIZONS SA,horizon
1844092,CENTRAL VALLEY HEALTH NETWORK INC,healthnet
2008994,CENTRAL VIRGINIA HEALTH NETWORK INC,healthnet
1404000,CENTRE HORIZON,horizon
2087536,CERVEJARIAS KAISER NORDESTE SA,kaiser
2489173,CFG HEALTH NETWORK LLC-NY,healthnet
2131194,CHAMPLAIN VALLEY HEALTH NETWORK INC,healthnet
2704307,CHOICE REGIONAL HEALTH NETWORK-ST,healthnet
3040808,CHOOSEANTHEM.COM,anthem
344559,CHRYSANTHEMUM RESTAURANT,anthem
2190058,CHRYSANTHEMUM SOFTWARE,anthem
11323,CIGNA CORP,cigna
2920799,CIGNA LIFE INSURANCE NEW ZEALND LTD,cigna
2196015,CIGNA ORTHODONTICS PC,cigna
1943245,CIGNA/ELLIOT CORPORATE 5K ROAD RACE,cigna
2193589,CIGNAL,cigna
3268134,CIGNAL TV INC,cigna
3175003,CIGNATURE REALTY ASSOC INC-NY,cigna
2921423,CITRUS HEALTH NETWORK INC,healthnet
2759219,CLEAR HORIZON MANAGEMENT GROUP-SF,horizon
24877,CLEAR HORIZONS SUBSTANCE ABUSE CTR,horizon
4064389,CLEARVIEW HORIZON INC-BZ,horizon
1252599,CLUB HORIZON INC-NY,horizon
1570283,COASTAL HORIZONS CTR INC,horizon
4364579,COCINA MOLINA LLC-DL,molina
2917058,CODE HORIZON INC,horizon
351994,COLORADO HEALTH NETWORK INC,healthnet
1066350,COLORADO HORIZON DEVELOPMENT CORP,horizon
456160,COMMERCIAL HORIZONS INC,horizon
3094052,COMMPASSION HEALTH NETWORK-SF,healthnet
2326838,COMMUNICATION HORIZONS LLC,horizon
1556759,COMMUNITY HEALTH NET,healthnet
1380027,COMMUNITY HEALTH NETWORK,healthnet
2109317,COMMUNITY HEALTH NETWORK FNDN INC,healthnet
1110432,COMMUNITY HEALTH NETWORK INC-IL,healthnet
463140,COMMUNITY HEALTH NETWORK INC-SF,healthnet
572182,COMMUNITY HEALTH NETWORK OF CT INC,healthnet
111432,COMMUNITY HEALTH NETWORK OF LA INC,healthnet
1692139,COMMUNITY HEALTH NETWORK OF WSHNGTN,healthnet
1007378,COMMUNITY HEALTH NETWORK-US,healthnet
2992937,COMPASSION HEALTH NETWORK INC-SF,healthnet
2590302,COMPLETECARE HEALTH NETWORK-DL,healthnet
928793,COMPREHENSIVE HEALTH NETWORK,healthnet
352753,COMPUTER HORIZONS CORP,horizon
343567,CONCORDE-NEW HORIZONS CORP,horizon
402461,CONDELL HEALTH NETWORK,healthnet
1048416,CONSIGNMENT HORIZONS,horizon
2530920,CONSTITUTIONAL HEALTH NETWORK,healthnet
1746902,COUNTRY HORIZON REALTY,horizon
1143153,CREATIVE HORIZONS INC,horizon
1034436,CRESPO JUAN MOLINA FOR COMMISSIONER,molina
864201,CRUISE HORIZONS LLC,horizon
1359687,CVS HEALTH CORP,cvs
4077569,CVS HEALTH JOBS,cvs
4274534,CW HORIZON LLC,horizon
2563181,DALE KAISER REAL ESTATE INC-FV,kaiser
536736,DALLAS HORIZON DIVERSITY SCHOLRSHPS,horizon
1228883,DANCING HORIZON HEALTH PC,horizon
2867640,DARK HORIZON,horizon
